Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2022-009524,31118673501,1/12/2022 6:00,,1/12/2022 14:30,A,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail,210,W,M,M1,DOWNTOWN COMMERCIAL,1XX BLOCK OF PIKE ST,-122.3394586,47.60905306
2022-009552,31118524765,1/12/2022 13:33,,1/12/2022 14:05,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2022-009399,31118597349,1/10/2022 0:00,,1/12/2022 13:56,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D3,EASTLAKE - WEST,28XX BLOCK OF BOYLSTON AVE E,-122.323362,47.64630934
2022-009399,31118583135,1/10/2022 0:00,,1/12/2022 13:56,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,D,D3,EASTLAKE - WEST,28XX BLOCK OF BOYLSTON AVE E,-122.323362,47.64630934
2022-009429,31117910928,1/12/2022 10:00,,1/12/2022 12:35,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2022-009464,31117801163,1/11/2022 13:00,,1/12/2022 12:31,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,O,O1,SODO,1XX BLOCK OF S SPOKANE ST,-122.3330681,47.57171528
2022-009392,31130255517,1/12/2022 9:15,,1/12/2022 12:07,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L2,ROOSEVELT/RAVENNA,5XX BLOCK OF NE 84TH ST,-122.3216439,47.68967092
2022-900854,31117103827,1/8/2022 19:45,,1/12/2022 11:05,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N2,BITTERLAKE,135XX BLOCK OF LINDEN AVE N,-122.34773,47.72822459
2022-009380,31116894557,1/12/2022 8:30,,1/12/2022 10:30,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,Q,Q3,SLU/CASCADE,3XX BLOCK OF DENNY WAY,-122.3496403,47.61857911
2022-009253,31116497338,1/12/2022 4:29,,1/12/2022 9:36,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,O,O1,SODO,24XX BLOCK OF 1ST AVE S,-122.3342002,47.58085317
2022-009347,31116414622,1/12/2022 8:15,,1/12/2022 9:18,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F2,SOUTH DELRIDGE,92XX BLOCK OF 17TH AVE SW,-122.3564799,47.52011424
2022-009305,31116892925,1/12/2022 7:00,,1/12/2022 8:35,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,F,F3,SOUTH PARK,S CLOVERDALE ST / 5TH AVE S,-122.3281988,47.52648115
2022-009272,31117274107,1/12/2022 5:36,,1/12/2022 8:19,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,R,R3,HILLMAN CITY,60XX BLOCK OF M L KING JR WAY S,-122.2859474,47.54706873
2022-900841,31115585149,1/11/2022 7:14,,1/12/2022 7:14,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D3,EASTLAKE - WEST,22XX BLOCK OF MINOR AVE E,-122.3283576,47.63898749
2022-009263,31115473588,1/12/2022 4:59,,1/12/2022 6:48,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,24XX BLOCK OF SW KENYON ST,-122.3645224,47.53187894
2022-009236,31115411226,1/12/2022 3:28,,1/12/2022 6:35,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,S,R,R3,COLUMBIA CITY,50XX BLOCK OF 39TH AVE S,-122.2834715,47.55662307
2022-009239,31115403076,1/12/2022 3:30,,1/12/2022 6:01,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,D,D3,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.3329965,47.62254475
2022-009239,31126296547,1/12/2022 3:30,,1/12/2022 6:01,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,W,D,D3,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.3329965,47.62254475
2022-009171,31114368556,1/11/2022 23:51,,1/12/2022 0:50,A,PROPERTY,ROBBERY,Robbery,120,W,M,M3,DOWNTOWN COMMERCIAL,2XX BLOCK OF PIKE ST,-122.3383483,47.60951744
2022-009084,31114703198,1/11/2022 20:36,,1/11/2022 23:54,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,27XX BLOCK OF NE 45TH ST,-122.2972223,47.66124046
2022-009107,31114102452,1/11/2022 21:15,,1/11/2022 23:45,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,G,G2,FIRST HILL,E JEFFERSON ST / 14TH AVE,-122.3141653,47.60619197
2022-009160,31114127121,1/11/2022 22:45,,1/11/2022 23:43,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U2,UNIVERSITY,47XX BLOCK OF 15TH AVE NE,-122.3119516,47.66398823
2022-009147,31114102887,1/11/2022 22:37,,1/11/2022 23:39,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,W,K,K2,DOWNTOWN COMMERCIAL,5XX BLOCK OF 3RD AVE,-122.3310822,47.60241242
2022-009140,31113509213,1/10/2022 23:59,,1/11/2022 22:59,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,U,U2,UNIVERSITY,8XX BLOCK OF NE 42ND ST,-122.3192936,47.65751671
2022-009131,31113310327,1/11/2022 21:35,,1/11/2022 22:19,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,S,S,S1,MID BEACON HILL,23XX BLOCK OF S RAYMOND ST,-122.3026412,47.5487355
2022-009093,31113286193,1/11/2022 20:54,,1/11/2022 22:11,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,K,K1,DOWNTOWN COMMERCIAL,MARION ST / ALASKAN WAY,-122.3377875,47.60306059
2022-009073,31113030257,1/3/2022 19:00,,1/11/2022 20:55,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,K,K1,DOWNTOWN COMMERCIAL,6XX BLOCK OF 2ND AVE,-122.3328458,47.6026625
2022-009056,31113208528,1/11/2022 19:52,,1/11/2022 20:53,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,S,S2,BRIGHTON/DUNLAP,72XX BLOCK OF 46TH AVE S,-122.275341,47.53734578
2022-009023,31112923610,1/11/2022 18:59,,1/11/2022 20:24,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,26XX BLOCK OF SW BARTON ST,-122.367312,47.52102758
2022-009014,31112647870,1/11/2022 18:45,,1/11/2022 19:19,A,PROPERTY,ROBBERY,Robbery,120,N,N,N3,NORTHGATE,100XX BLOCK OF AURORA AVE N,-122.3446554,47.7017921
2022-008973,31112506126,1/11/2022 17:42,,1/11/2022 18:54,A,PROPERTY,ROBBERY,Robbery,120,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,94XX BLOCK OF 35TH AVE SW,-122.3768538,47.51838341
2022-008919,31111903234,1/11/2022 16:12,,1/11/2022 16:51,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.298411,47.663323
2022-008890,31302937866,1/11/2022 15:32,,1/11/2022 16:43,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,S,S2,BRIGHTON/DUNLAP,42XX BLOCK OF S OTHELLO ST,-122.2800603,47.53705079
2022-008933,31111786267,1/11/2022 15:00,,1/11/2022 16:37,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,S JACKSON ST / 7TH AVE S,-122.3237501,47.5991886
2022-008839,31111427188,1/11/2022 3:00,,1/11/2022 16:16,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,M,M1,BELLTOWN,20XX BLOCK OF WESTERN AVE,-122.3441233,47.61079035
2022-008627,31110935955,1/11/2022 14:31,,1/11/2022 15:51,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.3207895,47.61465549
2022-008721,31208855518,1/11/2022 12:03,,1/11/2022 14:58,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E3,FIRST HILL,9XX BLOCK OF UNION ST,-122.3296707,47.61177482
2022-008721,31208870831,1/11/2022 12:03,,1/11/2022 14:58,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,E,E,E3,FIRST HILL,9XX BLOCK OF UNION ST,-122.3296707,47.61177482
2022-008823,31109675142,1/4/2022 8:30,,1/11/2022 14:45,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,R,R2,MOUNT BAKER,28XX BLOCK OF RAINIER AVE S,-122.2978364,47.57793795
2022-008831,31109386756,1/11/2022 8:40,,1/11/2022 14:34,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,N,U,U3,SANDPOINT,80XX BLOCK OF 36TH AVE NE,-122.2895713,47.68756012
2022-008740,31108858976,1/11/2022 12:17,,1/11/2022 13:52,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SW,F,F3,SOUTH DELRIDGE,94XX BLOCK OF 16TH AVE SW,-122.3551548,47.51827803
